127.0.0.1 - - [27/Feb/2024:07:26:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:43 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 16898
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 16898
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:30:44 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:32:00 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:32:00 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "POST /Bookify/insertproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "POST /Bookify/insertproduct HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "POST /Bookify/insertproduct HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 17846
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "GET /Bookify/images/LOOT.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:21 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 17846
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/LOOT.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 17846
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/LOOT.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:25 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 17846
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/LOOT.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 17846
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/ofcloudsandrainbows.jpg HTTP/1.1" 200 47186
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/POKHRUN.jpg HTTP/1.1" 200 27616
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/LOOT.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/deavdas.jpg HTTP/1.1" 200 153391
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/ghacharghochar.jpg HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/thewintergarden.jpg HTTP/1.1" 200 27725
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/byomkeshbakshi.jpg HTTP/1.1" 200 115593
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/Power%20Of%20Your%20Subconscious%20Mind.jpg HTTP/1.1" 200 14026
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/lostsymbol.jpg HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/Alchemist.jpg HTTP/1.1" 200 21970
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/chintachodosukhsejiyo.jpg HTTP/1.1" 200 129602
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/atomic%20habbit.jpg HTTP/1.1" 200 28707
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/MakeEpicMoney.jpg HTTP/1.1" 200 25667
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/irrfan.jpg HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [27/Feb/2024:07:33:26 +0530] "GET /Bookify/images/HeartOfDarkness.jpg HTTP/1.1" 200 32524
